date,City,State,Year,month1,Month,Year-Month,Num_reviews
2020-01-01,Chicago,Illinois,2020,1,01,2020-01,517
2020-01-01,Hawaii,Hawaii,2020,1,01,2020-01,684
2020-01-01,Las Vegas,Nevada,2020,1,01,2020-01,490
2020-01-01,Los Angeles,California,2020,1,01,2020-01,1106
2020-01-01,New York,New York,2020,1,01,2020-01,1654
2020-01-02,Chicago,Illinois,2020,1,01,2020-01,326
2020-01-02,Hawaii,Hawaii,2020,1,01,2020-01,640
2020-01-02,Las Vegas,Nevada,2020,1,01,2020-01,477
2020-01-02,Los Angeles,California,2020,1,01,2020-01,1271
2020-01-02,New York,New York,2020,1,01,2020-01,1453
2020-01-03,Chicago,Illinois,2020,1,01,2020-01,186
2020-01-03,Hawaii,Hawaii,2020,1,01,2020-01,655
2020-01-03,Las Vegas,Nevada,2020,1,01,2020-01,289
2020-01-03,Los Angeles,California,2020,1,01,2020-01,958
2020-01-03,New York,New York,2020,1,01,2020-01,956
2020-01-04,Chicago,Illinois,2020,1,01,2020-01,159
2020-01-04,Hawaii,Hawaii,2020,1,01,2020-01,663
2020-01-04,Las Vegas,Nevada,2020,1,01,2020-01,193
2020-01-04,Los Angeles,California,2020,1,01,2020-01,849
2020-01-04,New York,New York,2020,1,01,2020-01,764
2020-01-05,Chicago,Illinois,2020,1,01,2020-01,303
2020-01-05,Hawaii,Hawaii,2020,1,01,2020-01,651
2020-01-05,Las Vegas,Nevada,2020,1,01,2020-01,306
2020-01-05,Los Angeles,California,2020,1,01,2020-01,1035
2020-01-05,New York,New York,2020,1,01,2020-01,836
2020-01-06,Chicago,Illinois,2020,1,01,2020-01,102
2020-01-06,Hawaii,Hawaii,2020,1,01,2020-01,606
2020-01-06,Las Vegas,Nevada,2020,1,01,2020-01,177
2020-01-06,Los Angeles,California,2020,1,01,2020-01,707
2020-01-06,New York,New York,2020,1,01,2020-01,516
2020-01-07,Chicago,Illinois,2020,1,01,2020-01,83
2020-01-07,Hawaii,Hawaii,2020,1,01,2020-01,533
2020-01-07,Las Vegas,Nevada,2020,1,01,2020-01,155
2020-01-07,Los Angeles,California,2020,1,01,2020-01,571
2020-01-07,New York,New York,2020,1,01,2020-01,398
2020-01-08,Chicago,Illinois,2020,1,01,2020-01,78
2020-01-08,Hawaii,Hawaii,2020,1,01,2020-01,604
2020-01-08,Las Vegas,Nevada,2020,1,01,2020-01,199
2020-01-08,Los Angeles,California,2020,1,01,2020-01,514
2020-01-08,New York,New York,2020,1,01,2020-01,348
2020-01-09,Chicago,Illinois,2020,1,01,2020-01,82
2020-01-09,Hawaii,Hawaii,2020,1,01,2020-01,614
2020-01-09,Las Vegas,Nevada,2020,1,01,2020-01,434
2020-01-09,Los Angeles,California,2020,1,01,2020-01,504
2020-01-09,New York,New York,2020,1,01,2020-01,280
2020-01-10,Chicago,Illinois,2020,1,01,2020-01,97
2020-01-10,Hawaii,Hawaii,2020,1,01,2020-01,535
2020-01-10,Las Vegas,Nevada,2020,1,01,2020-01,638
2020-01-10,Los Angeles,California,2020,1,01,2020-01,655
2020-01-10,New York,New York,2020,1,01,2020-01,378
2020-01-11,Chicago,Illinois,2020,1,01,2020-01,124
2020-01-11,Hawaii,Hawaii,2020,1,01,2020-01,606
2020-01-11,Las Vegas,Nevada,2020,1,01,2020-01,425
2020-01-11,Los Angeles,California,2020,1,01,2020-01,616
2020-01-11,New York,New York,2020,1,01,2020-01,385
2020-01-12,Chicago,Illinois,2020,1,01,2020-01,317
2020-01-12,Hawaii,Hawaii,2020,1,01,2020-01,574
2020-01-12,Las Vegas,Nevada,2020,1,01,2020-01,362
2020-01-12,Los Angeles,California,2020,1,01,2020-01,1025
2020-01-12,New York,New York,2020,1,01,2020-01,723
2020-01-13,Chicago,Illinois,2020,1,01,2020-01,153
2020-01-13,Hawaii,Hawaii,2020,1,01,2020-01,567
2020-01-13,Las Vegas,Nevada,2020,1,01,2020-01,198
2020-01-13,Los Angeles,California,2020,1,01,2020-01,722
2020-01-13,New York,New York,2020,1,01,2020-01,437
2020-01-14,Chicago,Illinois,2020,1,01,2020-01,74
2020-01-14,Hawaii,Hawaii,2020,1,01,2020-01,542
2020-01-14,Las Vegas,Nevada,2020,1,01,2020-01,128
2020-01-14,Los Angeles,California,2020,1,01,2020-01,512
2020-01-14,New York,New York,2020,1,01,2020-01,302
2020-01-15,Chicago,Illinois,2020,1,01,2020-01,75
2020-01-15,Hawaii,Hawaii,2020,1,01,2020-01,507
2020-01-15,Las Vegas,Nevada,2020,1,01,2020-01,135
2020-01-15,Los Angeles,California,2020,1,01,2020-01,569
2020-01-15,New York,New York,2020,1,01,2020-01,321
2020-01-16,Chicago,Illinois,2020,1,01,2020-01,71
2020-01-16,Hawaii,Hawaii,2020,1,01,2020-01,525
2020-01-16,Las Vegas,Nevada,2020,1,01,2020-01,144
2020-01-16,Los Angeles,California,2020,1,01,2020-01,563
2020-01-16,New York,New York,2020,1,01,2020-01,286
2020-01-17,Chicago,Illinois,2020,1,01,2020-01,92
2020-01-17,Hawaii,Hawaii,2020,1,01,2020-01,527
2020-01-17,Las Vegas,Nevada,2020,1,01,2020-01,158
2020-01-17,Los Angeles,California,2020,1,01,2020-01,683
2020-01-17,New York,New York,2020,1,01,2020-01,330
2020-01-18,Chicago,Illinois,2020,1,01,2020-01,112
2020-01-18,Hawaii,Hawaii,2020,1,01,2020-01,618
2020-01-18,Las Vegas,Nevada,2020,1,01,2020-01,146
2020-01-18,Los Angeles,California,2020,1,01,2020-01,675
2020-01-18,New York,New York,2020,1,01,2020-01,398
2020-01-19,Chicago,Illinois,2020,1,01,2020-01,312
2020-01-19,Hawaii,Hawaii,2020,1,01,2020-01,587
2020-01-19,Las Vegas,Nevada,2020,1,01,2020-01,401
2020-01-19,Los Angeles,California,2020,1,01,2020-01,1079
2020-01-19,New York,New York,2020,1,01,2020-01,781
2020-01-20,Chicago,Illinois,2020,1,01,2020-01,294
2020-01-20,Hawaii,Hawaii,2020,1,01,2020-01,683
2020-01-20,Las Vegas,Nevada,2020,1,01,2020-01,540
2020-01-20,Los Angeles,California,2020,1,01,2020-01,1250
2020-01-20,New York,New York,2020,1,01,2020-01,773
2020-01-21,Chicago,Illinois,2020,1,01,2020-01,109
2020-01-21,Hawaii,Hawaii,2020,1,01,2020-01,621
2020-01-21,Las Vegas,Nevada,2020,1,01,2020-01,197
2020-01-21,Los Angeles,California,2020,1,01,2020-01,708
2020-01-21,New York,New York,2020,1,01,2020-01,348
2020-01-22,Chicago,Illinois,2020,1,01,2020-01,58
2020-01-22,Hawaii,Hawaii,2020,1,01,2020-01,584
2020-01-22,Las Vegas,Nevada,2020,1,01,2020-01,147
2020-01-22,Los Angeles,California,2020,1,01,2020-01,599
2020-01-22,New York,New York,2020,1,01,2020-01,259
2020-01-23,Chicago,Illinois,2020,1,01,2020-01,52
2020-01-23,Hawaii,Hawaii,2020,1,01,2020-01,545
2020-01-23,Las Vegas,Nevada,2020,1,01,2020-01,303
2020-01-23,Los Angeles,California,2020,1,01,2020-01,518
2020-01-23,New York,New York,2020,1,01,2020-01,264
2020-01-24,Chicago,Illinois,2020,1,01,2020-01,67
2020-01-24,Hawaii,Hawaii,2020,1,01,2020-01,565
2020-01-24,Las Vegas,Nevada,2020,1,01,2020-01,318
2020-01-24,Los Angeles,California,2020,1,01,2020-01,694
2020-01-24,New York,New York,2020,1,01,2020-01,305
2020-01-25,Chicago,Illinois,2020,1,01,2020-01,95
2020-01-25,Hawaii,Hawaii,2020,1,01,2020-01,629
2020-01-25,Las Vegas,Nevada,2020,1,01,2020-01,289
2020-01-25,Los Angeles,California,2020,1,01,2020-01,684
2020-01-25,New York,New York,2020,1,01,2020-01,317
2020-01-26,Chicago,Illinois,2020,1,01,2020-01,388
2020-01-26,Hawaii,Hawaii,2020,1,01,2020-01,590
2020-01-26,Las Vegas,Nevada,2020,1,01,2020-01,518
2020-01-26,Los Angeles,California,2020,1,01,2020-01,1163
2020-01-26,New York,New York,2020,1,01,2020-01,706
2020-01-27,Chicago,Illinois,2020,1,01,2020-01,120
2020-01-27,Hawaii,Hawaii,2020,1,01,2020-01,575
2020-01-27,Las Vegas,Nevada,2020,1,01,2020-01,320
2020-01-27,Los Angeles,California,2020,1,01,2020-01,966
2020-01-27,New York,New York,2020,1,01,2020-01,433
2020-01-28,Chicago,Illinois,2020,1,01,2020-01,88
2020-01-28,Hawaii,Hawaii,2020,1,01,2020-01,563
2020-01-28,Las Vegas,Nevada,2020,1,01,2020-01,170
2020-01-28,Los Angeles,California,2020,1,01,2020-01,682
2020-01-28,New York,New York,2020,1,01,2020-01,247
2020-01-29,Chicago,Illinois,2020,1,01,2020-01,64
2020-01-29,Hawaii,Hawaii,2020,1,01,2020-01,512
2020-01-29,Las Vegas,Nevada,2020,1,01,2020-01,143
2020-01-29,Los Angeles,California,2020,1,01,2020-01,612
2020-01-29,New York,New York,2020,1,01,2020-01,259
2020-01-30,Chicago,Illinois,2020,1,01,2020-01,48
2020-01-30,Hawaii,Hawaii,2020,1,01,2020-01,533
2020-01-30,Las Vegas,Nevada,2020,1,01,2020-01,169
2020-01-30,Los Angeles,California,2020,1,01,2020-01,591
2020-01-30,New York,New York,2020,1,01,2020-01,271
2020-01-31,Chicago,Illinois,2020,1,01,2020-01,122
2020-01-31,Hawaii,Hawaii,2020,1,01,2020-01,584
2020-01-31,Las Vegas,Nevada,2020,1,01,2020-01,211
2020-01-31,Los Angeles,California,2020,1,01,2020-01,809
2020-01-31,New York,New York,2020,1,01,2020-01,444
2020-02-01,Chicago,Illinois,2020,2,02,2020-02,130
2020-02-01,Hawaii,Hawaii,2020,2,02,2020-02,555
2020-02-01,Las Vegas,Nevada,2020,2,02,2020-02,139
2020-02-01,Los Angeles,California,2020,2,02,2020-02,714
2020-02-01,New York,New York,2020,2,02,2020-02,418
2020-02-02,Chicago,Illinois,2020,2,02,2020-02,370
2020-02-02,Hawaii,Hawaii,2020,2,02,2020-02,488
2020-02-02,Las Vegas,Nevada,2020,2,02,2020-02,426
2020-02-02,Los Angeles,California,2020,2,02,2020-02,1135
2020-02-02,New York,New York,2020,2,02,2020-02,717
2020-02-03,Chicago,Illinois,2020,2,02,2020-02,137
2020-02-03,Hawaii,Hawaii,2020,2,02,2020-02,542
2020-02-03,Las Vegas,Nevada,2020,2,02,2020-02,325
