"","state","date","total_cases","total_deaths","new_cases","new_deaths"
"1","New York",2021-03-01,999533,34595,4649,90
"2","New York",2021-03-02,1004065,34673,4532,78
"3","New York",2021-03-03,1008239,34775,4174,102
"4","New York",2021-03-04,1013208,34861,4969,86
"5","New York",2021-03-05,1018487,34932,5279,71
"6","New York",2021-03-06,1024070,35002,5583,70
"7","New York",2021-03-07,1029443,35073,5373,71
"8","New York",2021-03-08,1033143,35120,3700,47
"9","New York",2021-03-09,1037991,35177,4848,57
"10","New York",2021-03-10,1041995,35253,4004,76
"11","New York",2021-03-11,1046904,35352,4909,99
"12","New York",2021-03-12,1052423,35408,5519,56
"13","New York",2021-03-13,1056332,35474,3909,66
"14","New York",2021-03-14,1061009,35562,4677,88
"15","New York",2021-03-15,1066235,35614,5226,52
"16","New York",2021-03-16,1070833,35688,4598,74
"17","New York",2021-03-17,1074970,35737,4137,49
"18","New York",2021-03-18,1077791,35815,2821,78
"19","New York",2021-03-19,1080286,35875,2495,60
"20","New York",2021-03-20,1084281,35925,3995,50
"21","New York",2021-03-21,1085351,35934,1070,9
"22","New York",2021-03-22,1088447,35942,3096,8
"23","New York",2021-03-23,1092822,35949,4375,7
"24","New York",2021-03-24,1110577,36188,17755,239
"25","New York",2021-03-25,1116359,36251,5782,63
"26","New York",2021-03-26,1121425,36302,5066,51
"27","New York",2021-03-27,1127063,36366,5638,64
"28","New York",2021-03-28,1133023,36448,5960,82
"29","New York",2021-03-29,1139502,36546,6479,98
"30","New York",2021-03-30,1142772,36583,3270,37
"31","New York",2021-03-31,1147572,36657,4800,74
"32","New York",2021-04-01,1153527,36722,5955,65
"33","New York",2021-04-02,1158713,36783,5186,61
"34","New York",2021-04-03,1163421,36861,4708,78
"35","New York",2021-04-04,1168332,36933,4911,72
"36","New York",2021-04-05,1172446,36990,4114,57
"37","New York",2021-04-06,1176541,37026,4095,36
"38","New York",2021-04-07,1180253,37100,3712,74
"39","New York",2021-04-08,1185724,37146,5471,46
"40","New York",2021-04-09,1190790,37209,5066,63
"41","New York",2021-04-10,1195295,37253,4505,44
"42","New York",2021-04-11,1199238,37318,3943,65
"43","New York",2021-04-12,1202949,37385,3711,67
"44","New York",2021-04-13,1205925,37422,2976,37
"45","New York",2021-04-14,1209335,37496,3410,74
"46","New York",2021-04-15,1213142,37551,3807,55
"47","New York",2021-04-16,1217129,37590,3987,39
"48","New York",2021-04-17,1220247,37638,3118,48
"49","New York",2021-04-18,1223470,37673,3223,35
"50","New York",2021-04-19,1226972,37702,3502,29
"51","New York",2021-04-20,1229954,37746,2982,44
"52","New York",2021-04-21,1232355,37769,2401,23
"53","New York",2021-04-22,1235406,37828,3051,59
"54","New York",2021-04-23,1238039,37873,2633,45
"55","New York",2021-04-24,1240425,37924,2386,51
"56","New York",2021-04-25,1242793,37959,2368,35
