"","id","last_scraped","beds","bedrooms","host_is_superhost","accommodates","price","availability_30","availability_60","availability_90","availability_365","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","num_reviews","price_numeric","state"
"1",3831,2021-06-06,3,1,FALSE,3,"$79.00",1,5,19,208,2021-05-04,4.46,4.59,4.51,4.79,4.8,4.72,4.64,9,79,"NY"
"2",5803,2021-06-04,0,1,TRUE,2,"$98.00",11,24,54,329,2021-05-15,4.71,4.75,4.64,4.82,4.82,4.86,4.74,3,98,"NY"
"3",7097,2021-06-04,2,1,TRUE,4,"$199.00",3,18,43,257,2021-05-24,4.86,4.88,4.89,4.96,4.9,4.92,4.77,7,199,"NY"
"4",8490,2021-06-06,4,1,TRUE,5,"$120.00",2,15,33,282,2021-05-10,4.76,4.85,4.72,4.88,4.87,4.58,4.74,5,120,"NY"
"5",9657,2021-06-04,1,1,TRUE,2,"$175.00",9,26,56,56,2021-03-15,4.73,4.9,4.55,4.9,4.84,4.84,4.35,1,175,"NY"
"6",10452,2021-06-04,2,1,FALSE,3,"$70.00",0,0,2,277,2021-04-01,4.67,4.48,4.61,4.71,4.84,4.37,4.63,1,70,"NY"
"7",12937,2021-06-04,2,1,FALSE,4,"$130.00",12,38,65,192,2021-05-16,4.9,4.9,4.9,4.9,4.9,4.87,4.83,3,130,"NY"
"8",12940,2021-06-06,1,1,FALSE,2,"$99.00",0,0,4,279,2021-05-10,4.48,4.58,4.39,4.69,4.52,3.98,4.34,1,99,"NY"
"9",13808,2021-06-05,1,1,FALSE,2,"$80.00",0,23,30,267,2021-05-31,4.67,4.74,4.45,4.9,4.86,4.47,4.7,3,80,"NY"
"10",16595,2021-06-05,1,1,FALSE,2,"$400.00",0,0,0,0,2021-06-01,4.71,4.87,4.73,4.91,4.92,4.69,4.45,10,400,"NY"
"11",16821,2021-06-05,1,1,FALSE,1,"$99.00",0,22,50,325,2021-05-31,4.64,4.72,4.34,4.73,4.87,4.9,4.59,3,99,"NY"
"12",16974,2021-06-05,6,4,TRUE,8,"$250.00",0,0,0,0,2021-05-23,4.83,4.9,4.74,4.95,4.94,4.4,4.75,4,250,"NY"
"13",18195,2021-06-04,1,1,FALSE,1,"$70.00",0,16,27,302,2021-05-29,4.95,5,4.79,5,4.89,5,5,2,70,"NY"
"14",18728,2021-06-05,1,1,TRUE,3,"$150.00",5,5,30,287,2021-06-01,4.95,4.96,4.96,4.98,4.98,5,4.93,1,150,"NY"
"15",20717,2021-06-05,1,1,TRUE,2,"$85.00",1,31,61,336,2021-03-31,4.89,4.96,4.87,4.96,4.85,4.98,4.91,1,85,"NY"
"16",24285,2021-06-05,6,4,FALSE,9,"$220.00",0,0,0,274,2021-06-01,4.82,4.76,4.93,4.95,4.76,4.76,4.85,1,220,"NY"
"17",26362,2021-06-05,1,1,TRUE,1,"$63.00",2,19,49,316,2021-05-21,4.53,4.64,4.72,4.83,4.82,4.84,4.64,8,63,"NY"
"18",26785,2021-06-06,1,1,TRUE,3,"$90.00",1,1,18,205,2021-04-30,4.93,4.95,4.96,4.98,4.98,4.89,4.91,2,90,"NY"
"19",29013,2021-06-06,1,1,FALSE,2,"$70.00",17,17,27,302,2021-05-01,4.67,4.3,4.56,4.75,4.66,4.34,4.51,1,70,"NY"
"20",29628,2021-06-06,1,1,TRUE,2,"$89.00",5,11,27,292,2021-04-05,4.92,4.92,4.94,4.98,4.98,4.82,4.91,2,89,"NY"
"21",29683,2021-06-06,1,1,FALSE,3,"$155.00",4,6,6,275,2021-05-13,4.78,4.87,4.86,4.84,4.92,4.9,4.65,1,155,"NY"
"22",31555,2021-06-03,1,NA,TRUE,2,"$135.00",0,0,0,0,2021-03-27,4.71,4.79,4.41,4.9,4.97,4.93,4.69,1,135,"NY"
"23",31994,2021-06-06,1,1,FALSE,2,"$86.00",11,41,68,343,2021-04-26,4.48,4.65,4.39,4.73,4.74,4.72,4.57,1,86,"NY"
"24",33009,2021-06-06,1,1,TRUE,2,"$215.00",6,15,15,278,2021-05-31,4.95,4.96,4.98,4.98,4.98,4.96,4.89,4,215,"NY"
"25",39282,2021-06-05,1,1,FALSE,2,"$57.00",1,1,5,5,2021-05-14,4.8,4.8,4.58,4.93,4.86,4.85,4.75,4,57,"NY"
"26",39586,2021-06-04,1,1,TRUE,2,"$126.00",30,60,90,365,2021-04-18,4.54,4.47,4.49,4.64,4.69,4.68,4.5,1,126,"NY"
"27",45556,2021-06-04,1,1,TRUE,2,"$65.00",15,40,70,158,2021-05-09,4.89,4.93,4.91,4.94,4.99,4.97,4.82,6,65,"NY"
"28",50447,2021-06-05,2,1,TRUE,4,"$147.00",1,1,1,1,2021-05-25,4.84,4.71,4.78,4.9,4.9,4.88,4.8,6,147,"NY"
"29",52689,2021-06-04,2,2,FALSE,4,"$130.00",0,8,9,128,2021-05-29,4.83,5,4.67,5,5,4.83,5,2,130,"NY"
"30",54508,2021-06-05,1,1,FALSE,2,"$60.00",1,2,8,253,2021-06-01,4.68,4.87,4.68,4.9,4.9,4.95,4.84,6,60,"NY"
"31",54860,2021-06-05,1,1,FALSE,2,"$100.00",1,1,1,1,2021-06-01,4.84,4.88,4.87,4.96,4.87,4.47,4.8,1,100,"NY"
"32",57166,2021-06-06,2,1,TRUE,2,"$154.00",19,32,61,334,2021-05-16,4.7,4.82,4.67,4.93,4.87,4.89,4.71,10,154,"NY"
"33",57618,2021-06-04,2,1,TRUE,4,"$250.00",0,0,0,0,2021-05-31,4.81,4.88,4.73,4.92,4.94,4.87,4.66,3,250,"NY"
"34",57754,2021-06-05,1,1,TRUE,2,"$285.00",4,5,9,203,2021-05-23,4.98,4.99,4.97,4.96,5,4.97,4.9,7,285,"NY"
"35",57874,2021-06-04,1,1,FALSE,2,"$160.00",14,34,57,329,2021-05-10,4.85,4.91,4.94,4.91,4.92,4.56,4.79,7,160,"NY"
"36",58059,2021-06-04,1,1,TRUE,2,"$47.00",0,4,14,222,2021-05-29,4.7,4.66,4.72,4.74,4.81,4.65,4.7,12,47,"NY"
"37",62925,2021-06-04,2,2,FALSE,4,"$285.00",3,3,22,291,2021-05-03,4.78,4.84,4.68,4.92,4.9,4.84,4.69,4,285,"NY"
"38",64837,2021-06-03,1,1,FALSE,2,"$40.00",0,1,1,1,2021-05-19,4.56,4.71,4.19,4.76,4.87,4.8,4.6,3,40,"NY"
"39",66251,2021-06-04,1,NA,TRUE,2,"$270.00",5,35,65,65,2021-04-04,4.92,4.95,4.74,4.79,4.91,4.92,4.77,2,270,"NY"
"40",66275,2021-06-04,3,2,TRUE,5,"$339.00",0,9,39,314,2021-06-01,4.86,4.92,4.72,4.95,4.98,4.93,4.72,8,339,"NY"
"41",66718,2021-06-06,2,2,FALSE,5,"$66.00",0,6,9,284,2021-05-01,4.35,4.62,4.35,4.79,4.83,4.35,4.48,1,66,"NY"
"42",66974,2021-06-04,1,1,TRUE,3,"$190.00",2,7,9,241,2021-05-22,4.98,4.96,4.98,4.99,4.98,4.95,4.87,14,190,"NY"
"43",67288,2021-06-04,2,1,TRUE,2,"$105.00",2,2,7,246,2021-04-17,4.85,4.91,4.79,5,5,4.66,4.72,1,105,"NY"
"44",67299,2021-06-03,2,1,TRUE,4,"$85.00",1,1,1,1,2021-03-19,4.88,4.88,4.92,4.98,5,4.92,4.82,1,85,"NY"
"45",68765,2021-06-05,4,3,TRUE,5,"$289.00",4,8,21,199,2021-05-20,4.92,4.92,4.83,4.88,4.95,4.93,4.79,4,289,"NY"
"46",68974,2021-06-05,3,3,TRUE,6,"$609.00",0,7,37,301,2021-05-14,4.85,4.87,4.88,4.83,4.87,4.77,4.63,2,609,"NY"
"47",69894,2021-06-05,1,1,FALSE,2,"$150.00",3,25,30,30,2021-05-28,4.83,4.85,4.46,4.91,4.93,4.96,4.75,1,150,"NY"
"48",69921,2021-06-04,1,1,FALSE,2,"$50.00",7,26,47,227,2020-01-16,4.74,4.82,4.62,4.7,4.82,4.6,4.67,1,50,"NY"
"49",71248,2021-06-03,1,1,TRUE,2,"$135.00",0,1,1,54,2021-05-31,4.82,4.79,4.54,4.94,4.94,4.77,4.79,2,135,"NY"
"50",71812,2021-06-04,1,1,FALSE,2,"$90.00",0,9,39,314,2021-05-02,4.6,4.9,4.9,4.9,4.9,4.9,4.9,1,90,"NY"
"51",74240,2021-06-06,1,1,FALSE,2,"$129.00",1,3,15,114,2021-04-11,4.64,4.63,4.4,4.77,4.77,4.91,4.37,2,129,"NY"
"52",80493,2021-06-05,2,1,TRUE,2,"$70.00",0,0,0,209,2020-08-08,4.33,4.44,3.9,4.83,4.76,4.84,4.44,1,70,"NY"
"53",82638,2021-06-04,1,1,FALSE,2,"$119.00",0,0,18,293,2021-05-17,4.79,4.89,4.7,4.88,4.93,4.83,4.67,1,119,"NY"
"54",93313,2021-06-04,4,2,TRUE,5,"$120.00",0,0,21,296,2021-05-13,4.71,4.88,4.8,4.93,4.92,4.51,4.65,1,120,"NY"
"55",94209,2021-06-05,2,1,FALSE,4,"$100.00",4,23,53,143,2021-06-01,5,4.86,4.86,5,5,4.86,4.86,7,100,"NY"
