date,City,State,Year,Month,Year-Month,Num_reviews,Num_cases,Num_deaths
2020-01-01,Los Angeles,California,2020,01,2020-01,1106,0,0
2020-01-01,Hawaii,Hawaii,2020,01,2020-01,684,0,0
2020-01-01,Chicago,Illinois,2020,01,2020-01,517,0,0
2020-01-01,Las Vegas,Nevada,2020,01,2020-01,490,0,0
2020-01-01,New York,New York,2020,01,2020-01,1654,0,0
2020-01-02,Los Angeles,California,2020,01,2020-01,1271,0,0
2020-01-02,Hawaii,Hawaii,2020,01,2020-01,640,0,0
2020-01-02,Chicago,Illinois,2020,01,2020-01,326,0,0
2020-01-02,Las Vegas,Nevada,2020,01,2020-01,477,0,0
2020-01-02,New York,New York,2020,01,2020-01,1453,0,0
2020-01-03,Los Angeles,California,2020,01,2020-01,958,0,0
2020-01-03,Hawaii,Hawaii,2020,01,2020-01,655,0,0
2020-01-03,Chicago,Illinois,2020,01,2020-01,186,0,0
2020-01-03,Las Vegas,Nevada,2020,01,2020-01,289,0,0
2020-01-03,New York,New York,2020,01,2020-01,956,0,0
2020-01-04,Los Angeles,California,2020,01,2020-01,849,0,0
2020-01-04,Hawaii,Hawaii,2020,01,2020-01,663,0,0
2020-01-04,Chicago,Illinois,2020,01,2020-01,159,0,0
2020-01-04,Las Vegas,Nevada,2020,01,2020-01,193,0,0
2020-01-04,New York,New York,2020,01,2020-01,764,0,0
2020-01-05,Los Angeles,California,2020,01,2020-01,1035,0,0
2020-01-05,Hawaii,Hawaii,2020,01,2020-01,651,0,0
2020-01-05,Chicago,Illinois,2020,01,2020-01,303,0,0
2020-01-05,Las Vegas,Nevada,2020,01,2020-01,306,0,0
2020-01-05,New York,New York,2020,01,2020-01,836,0,0
2020-01-06,Los Angeles,California,2020,01,2020-01,707,0,0
2020-01-06,Hawaii,Hawaii,2020,01,2020-01,606,0,0
2020-01-06,Chicago,Illinois,2020,01,2020-01,102,0,0
2020-01-06,Las Vegas,Nevada,2020,01,2020-01,177,0,0
2020-01-06,New York,New York,2020,01,2020-01,516,0,0
2020-01-07,Los Angeles,California,2020,01,2020-01,571,0,0
2020-01-07,Hawaii,Hawaii,2020,01,2020-01,533,0,0
2020-01-07,Chicago,Illinois,2020,01,2020-01,83,0,0
2020-01-07,Las Vegas,Nevada,2020,01,2020-01,155,0,0
2020-01-07,New York,New York,2020,01,2020-01,398,0,0
2020-01-08,Los Angeles,California,2020,01,2020-01,514,0,0
2020-01-08,Hawaii,Hawaii,2020,01,2020-01,604,0,0
2020-01-08,Chicago,Illinois,2020,01,2020-01,78,0,0
2020-01-08,Las Vegas,Nevada,2020,01,2020-01,199,0,0
2020-01-08,New York,New York,2020,01,2020-01,348,0,0
2020-01-09,Los Angeles,California,2020,01,2020-01,504,0,0
2020-01-09,Hawaii,Hawaii,2020,01,2020-01,614,0,0
2020-01-09,Chicago,Illinois,2020,01,2020-01,82,0,0
2020-01-09,Las Vegas,Nevada,2020,01,2020-01,434,0,0
2020-01-09,New York,New York,2020,01,2020-01,280,0,0
2020-01-10,Los Angeles,California,2020,01,2020-01,655,0,0
2020-01-10,Hawaii,Hawaii,2020,01,2020-01,535,0,0
2020-01-10,Chicago,Illinois,2020,01,2020-01,97,0,0
2020-01-10,Las Vegas,Nevada,2020,01,2020-01,638,0,0
2020-01-10,New York,New York,2020,01,2020-01,378,0,0
2020-01-11,Los Angeles,California,2020,01,2020-01,616,0,0
2020-01-11,Hawaii,Hawaii,2020,01,2020-01,606,0,0
2020-01-11,Chicago,Illinois,2020,01,2020-01,124,0,0
2020-01-11,Las Vegas,Nevada,2020,01,2020-01,425,0,0
2020-01-11,New York,New York,2020,01,2020-01,385,0,0
2020-01-12,Los Angeles,California,2020,01,2020-01,1025,0,0
2020-01-12,Hawaii,Hawaii,2020,01,2020-01,574,0,0
2020-01-12,Chicago,Illinois,2020,01,2020-01,317,0,0
2020-01-12,Las Vegas,Nevada,2020,01,2020-01,362,0,0
2020-01-12,New York,New York,2020,01,2020-01,723,0,0
2020-01-13,Los Angeles,California,2020,01,2020-01,722,0,0
2020-01-13,Hawaii,Hawaii,2020,01,2020-01,567,0,0
2020-01-13,Chicago,Illinois,2020,01,2020-01,153,0,0
2020-01-13,Las Vegas,Nevada,2020,01,2020-01,198,0,0
2020-01-13,New York,New York,2020,01,2020-01,437,0,0
2020-01-14,Los Angeles,California,2020,01,2020-01,512,0,0
2020-01-14,Hawaii,Hawaii,2020,01,2020-01,542,0,0
2020-01-14,Chicago,Illinois,2020,01,2020-01,74,0,0
2020-01-14,Las Vegas,Nevada,2020,01,2020-01,128,0,0
2020-01-14,New York,New York,2020,01,2020-01,302,0,0
2020-01-15,Los Angeles,California,2020,01,2020-01,569,0,0
2020-01-15,Hawaii,Hawaii,2020,01,2020-01,507,0,0
2020-01-15,Chicago,Illinois,2020,01,2020-01,75,0,0
2020-01-15,Las Vegas,Nevada,2020,01,2020-01,135,0,0
2020-01-15,New York,New York,2020,01,2020-01,321,0,0
2020-01-16,Los Angeles,California,2020,01,2020-01,563,0,0
2020-01-16,Hawaii,Hawaii,2020,01,2020-01,525,0,0
2020-01-16,Chicago,Illinois,2020,01,2020-01,71,0,0
2020-01-16,Las Vegas,Nevada,2020,01,2020-01,144,0,0
2020-01-16,New York,New York,2020,01,2020-01,286,0,0
2020-01-17,Los Angeles,California,2020,01,2020-01,683,0,0
2020-01-17,Hawaii,Hawaii,2020,01,2020-01,527,0,0
2020-01-17,Chicago,Illinois,2020,01,2020-01,92,0,0
2020-01-17,Las Vegas,Nevada,2020,01,2020-01,158,0,0
2020-01-17,New York,New York,2020,01,2020-01,330,0,0
2020-01-18,Los Angeles,California,2020,01,2020-01,675,0,0
2020-01-18,Hawaii,Hawaii,2020,01,2020-01,618,0,0
2020-01-18,Chicago,Illinois,2020,01,2020-01,112,0,0
2020-01-18,Las Vegas,Nevada,2020,01,2020-01,146,0,0
2020-01-18,New York,New York,2020,01,2020-01,398,0,0
2020-01-19,Los Angeles,California,2020,01,2020-01,1079,0,0
2020-01-19,Hawaii,Hawaii,2020,01,2020-01,587,0,0
2020-01-19,Chicago,Illinois,2020,01,2020-01,312,0,0
2020-01-19,Las Vegas,Nevada,2020,01,2020-01,401,0,0
2020-01-19,New York,New York,2020,01,2020-01,781,0,0
2020-01-20,Los Angeles,California,2020,01,2020-01,1250,0,0
2020-01-20,Hawaii,Hawaii,2020,01,2020-01,683,0,0
2020-01-20,Chicago,Illinois,2020,01,2020-01,294,0,0
2020-01-20,Las Vegas,Nevada,2020,01,2020-01,540,0,0
2020-01-20,New York,New York,2020,01,2020-01,773,0,0
2020-01-21,Los Angeles,California,2020,01,2020-01,708,0,0
2020-01-21,Hawaii,Hawaii,2020,01,2020-01,621,0,0
2020-01-21,Chicago,Illinois,2020,01,2020-01,109,0,0
2020-01-21,Las Vegas,Nevada,2020,01,2020-01,197,0,0
2020-01-21,New York,New York,2020,01,2020-01,348,0,0
2020-01-22,Los Angeles,California,2020,01,2020-01,599,0,0
2020-01-22,Hawaii,Hawaii,2020,01,2020-01,584,0,0
2020-01-22,Chicago,Illinois,2020,01,2020-01,58,0,0
2020-01-22,Las Vegas,Nevada,2020,01,2020-01,147,0,0
2020-01-22,New York,New York,2020,01,2020-01,259,0,0
2020-01-23,Los Angeles,California,2020,01,2020-01,518,0,0
2020-01-23,Hawaii,Hawaii,2020,01,2020-01,545,0,0
2020-01-23,Chicago,Illinois,2020,01,2020-01,52,0,0
2020-01-23,Las Vegas,Nevada,2020,01,2020-01,303,0,0
2020-01-23,New York,New York,2020,01,2020-01,264,0,0
2020-01-24,Los Angeles,California,2020,01,2020-01,694,0,0
2020-01-24,Hawaii,Hawaii,2020,01,2020-01,565,0,0
2020-01-24,Chicago,Illinois,2020,01,2020-01,67,0,0
2020-01-24,Las Vegas,Nevada,2020,01,2020-01,318,0,0
2020-01-24,New York,New York,2020,01,2020-01,305,0,0
2020-01-25,Los Angeles,California,2020,01,2020-01,684,0,0
2020-01-25,Hawaii,Hawaii,2020,01,2020-01,629,0,0
2020-01-25,Chicago,Illinois,2020,01,2020-01,95,0,0
2020-01-25,Las Vegas,Nevada,2020,01,2020-01,289,0,0
2020-01-25,New York,New York,2020,01,2020-01,317,0,0
2020-01-26,Los Angeles,California,2020,01,2020-01,1163,1,0
2020-01-26,Hawaii,Hawaii,2020,01,2020-01,590,0,0
2020-01-26,Chicago,Illinois,2020,01,2020-01,388,0,0
2020-01-26,Las Vegas,Nevada,2020,01,2020-01,518,0,0
2020-01-26,New York,New York,2020,01,2020-01,706,0,0
2020-01-27,Los Angeles,California,2020,01,2020-01,966,1,0
2020-01-27,Hawaii,Hawaii,2020,01,2020-01,575,0,0
2020-01-27,Chicago,Illinois,2020,01,2020-01,120,0,0
2020-01-27,Las Vegas,Nevada,2020,01,2020-01,320,0,0
2020-01-27,New York,New York,2020,01,2020-01,433,0,0
2020-01-28,Los Angeles,California,2020,01,2020-01,682,1,0
2020-01-28,Hawaii,Hawaii,2020,01,2020-01,563,0,0
2020-01-28,Chicago,Illinois,2020,01,2020-01,88,0,0
