date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-01-24,Cook,Illinois,17031,1,0,2020,1,01,2020-01
2020-01-25,Cook,Illinois,17031,1,0,2020,1,01,2020-01
2020-01-26,Los Angeles,California,06037,1,0,2020,1,01,2020-01
2020-01-26,Cook,Illinois,17031,1,0,2020,1,01,2020-01
2020-01-27,Los Angeles,California,06037,1,0,2020,1,01,2020-01
2020-01-27,Cook,Illinois,17031,1,0,2020,1,01,2020-01
2020-01-28,Los Angeles,California,06037,1,0,2020,1,01,2020-01
2020-01-28,Cook,Illinois,17031,1,0,2020,1,01,2020-01
2020-01-29,Los Angeles,California,06037,1,0,2020,1,01,2020-01
2020-01-29,Cook,Illinois,17031,1,0,2020,1,01,2020-01
2020-01-30,Los Angeles,California,06037,1,0,2020,1,01,2020-01
2020-01-30,Cook,Illinois,17031,2,0,2020,1,01,2020-01
2020-01-31,Los Angeles,California,06037,1,0,2020,1,01,2020-01
2020-01-31,Cook,Illinois,17031,2,0,2020,1,01,2020-01
2020-02-01,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-01,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-02,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-02,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-03,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-03,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-04,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-04,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-05,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-05,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-06,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-06,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-07,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-07,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-08,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-08,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-09,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-09,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-10,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-10,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-11,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-11,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-12,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-12,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-13,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-13,Cook,Illinois,17031,2,0,2020,2,02,2020-02
2020-02-14,Los Angeles,California,06037,1,0,2020,2,02,2020-02
2020-02-14,Cook,Illinois,17031,2,0,2020,2,02,2020-02
