"","last_scraped","id","beds","bedrooms","host_is_superhost","accommodates","price","availability_30","availability_60","availability_90","availability_365","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","num_reviews","price_numeric","state","cases_30","deaths_30","cases_60","deaths_60","cases_90","deaths_90","log_price","log_beds","NY_OHE","CA_OHE"
"1",2021-06-05,8055582,1,1,TRUE,2,"$77.00",19,49,77,77,2021-05-17,4.78,4.91,4.71,4.95,4.92,4.53,4.79,14,77,"NY",21478,603,108404,1971,256780,3959,4.34380542185368,0,1,0
"2",2021-07-06,37104260,3,2,FALSE,6,"$273.00",4,17,37,206,2021-05-07,4.67,5,4.67,5,5,5,4.67,3,273,"CA",30496,496,51144,1192,81557,2660,5.60947179518496,1.09861228866811,0,1
"3",2021-06-04,8614204,8,3,FALSE,13,"$85.00",7,37,67,342,2021-05-17,4.43,4.5,4.57,4.8,4.71,4.74,4.46,3,85,"NY",22306,643,112086,2022,261931,4023,4.44265125649032,2.07944154167984,1,0
"4",2021-06-06,24033132,2,NA,FALSE,3,"$145.00",9,23,45,291,2021-05-31,4.88,4.95,4.94,4.98,4.89,4.79,4.83,6,145,"NY",20368,600,104531,1957,251629,3910,4.97673374242057,0.693147180559945,1,0
"5",2021-07-06,45090050,1,1,FALSE,3,"$99.00",5,35,65,340,2021-06-28,4.77,4.81,4.62,4.92,4.96,4.65,4.58,18,99,"CA",30496,496,51144,1192,81557,2660,4.59511985013459,0,0,1
"6",2021-07-07,902024,1,1,TRUE,3,"$99.00",3,19,49,318,2021-06-20,4.87,4.92,4.82,4.96,4.94,4.98,4.78,5,99,"CA",32587,503,52716,1192,82757,2612,4.59511985013459,0,0,1
"7",2021-07-07,28317911,1,NA,TRUE,2,"$91.00",0,0,19,108,2021-06-26,4.86,4.92,4.78,4.94,4.92,4.82,4.82,18,91,"CA",32587,503,52716,1192,82757,2612,4.51085950651685,0,0,1
"8",2021-06-05,45547548,2,2,FALSE,4,"$150.00",1,1,18,293,2021-05-16,5,5,5,5,5,5,5,1,150,"NY",21478,603,108404,1971,256780,3959,5.01063529409626,0.693147180559945,1,0
"9",2021-06-04,49504948,1,1,FALSE,5,"$125.00",0,5,35,35,2021-05-31,5,4.9,4.6,4.5,5,4.6,4.9,10,125,"NY",22306,643,112086,2022,261931,4023,4.8283137373023,0,1,0
"10",2021-06-05,33491707,1,1,TRUE,2,"$153.00",0,0,20,35,2021-05-31,4.98,4.98,4.93,5,5,5,4.93,5,153,"NY",21478,603,108404,1971,256780,3959,5.03043792139244,0,1,0
"11",2021-06-03,44415969,3,2,TRUE,4,"$179.00",7,34,64,336,2021-05-31,4.79,4.76,4.9,4.86,4.9,4.66,4.69,6,179,"NY",23043,660,116602,2073,266815,4073,5.18738580584075,1.09861228866811,1,0
"12",2021-06-04,24288869,2,1,FALSE,3,"$66.00",26,52,82,202,2021-05-30,4.45,4.45,4.68,4.53,4.64,4.48,4.33,18,66,"NY",22306,643,112086,2022,261931,4023,4.18965474202643,0.693147180559945,1,0
"13",2021-07-07,32093496,1,1,TRUE,2,"$50.00",27,57,86,86,2021-06-26,4.86,4.91,4.91,4.93,4.93,4.9,4.88,26,50,"CA",32587,503,52716,1192,82757,2612,3.91202300542815,0,0,1
"14",2021-06-05,43163186,0,1,TRUE,2,"$170.00",0,27,27,63,2021-04-30,4.83,4.67,4.83,5,4.83,5,5,1,170,"NY",21478,603,108404,1971,256780,3959,5.13579843705026,0,1,0
