"","Year.Month","Year","Month","State","Num_reviews","Num_cases","Num_deaths"
"1","2020-01",2020,1,"California",23890,6,0
"2","2020-01",2020,1,"Hawaii",18222,0,0
"3","2020-01",2020,1,"Illinois",4768,0,0
"4","2020-01",2020,1,"Nevada",8780,0,0
"5","2020-01",2020,1,"New York",16172,0,0
"6","2020-02",2020,2,"California",23318,29,0
"7","2020-02",2020,2,"Hawaii",17011,0,0
"8","2020-02",2020,2,"Illinois",5039,0,0
"9","2020-02",2020,2,"Nevada",7469,0,0
"10","2020-02",2020,2,"New York",13765,0,0
"11","2020-03",2020,3,"California",16576,16149,268
"12","2020-03",2020,3,"Hawaii",13477,1474,1
"13","2020-03",2020,3,"Illinois",4056,0,0
"14","2020-03",2020,3,"Nevada",5794,4788,112
"15","2020-03",2020,3,"New York",10327,268460,6531
"16","2020-04",2020,4,"California",4316,362305,14801
"17","2020-04",2020,4,"Hawaii",701,14988,274
"18","2020-04",2020,4,"Illinois",840,0,0
"19","2020-04",2020,4,"Nevada",1549,77641,3387
"20","2020-04",2020,4,"New York",1974,3529064,323536
"21","2020-05",2020,5,"California",8472,1172311,55009
"22","2020-05",2020,5,"Hawaii",361,19430,525
"23","2020-05",2020,5,"Illinois",1312,0,0
"24","2020-05",2020,5,"Nevada",3406,165400,8893
"25","2020-05",2020,5,"New York",3023,6031515,616830
"26","2020-06",2020,6,"California",11701,2295011,87756
"27","2020-06",2020,6,"Hawaii",835,22303,514
"28","2020-06",2020,6,"Illinois",2268,0,0
"29","2020-06",2020,6,"Nevada",5749,288290,11464
"30","2020-06",2020,6,"New York",4686,6445936,648088
"31","2020-07",2020,7,"California",16201,4534053,123135
"32","2020-07",2020,7,"Hawaii",2621,41333,673
"33","2020-07",2020,7,"Illinois",4049,0,0
"34","2020-07",2020,7,"Nevada",8145,854844,16232
"35","2020-07",2020,7,"New York",7264,6978116,707314
"36","2020-08",2020,8,"California",18003,6796228,163012
"37","2020-08",2020,8,"Hawaii",2094,156872,1257
"38","2020-08",2020,8,"Illinois",4414,0,0
"39","2020-08",2020,8,"Nevada",8307,1614627,28364
"40","2020-08",2020,8,"New York",8739,7274274,729561
"41","2020-09",2020,9,"California",16138,7694092,187418
"42","2020-09",2020,9,"Hawaii",1284,327696,3146
"43","2020-09",2020,9,"Illinois",4534,0,0
"44","2020-09",2020,9,"Nevada",8143,1897087,38513
"45","2020-09",2020,9,"New York",8470,7306097,712788
"46","2020-10",2020,10,"California",16147,8928603,212261
"47","2020-10",2020,10,"Hawaii",2929,433606,5681
"48","2020-10",2020,10,"Illinois",4522,0,0
"49","2020-10",2020,10,"Nevada",8050,2301775,45242
"50","2020-10",2020,10,"New York",9247,7998546,741467
"51","2020-11",2020,11,"California",15863,10393607,219720
"52","2020-11",2020,11,"Hawaii",7370,500379,6751
"53","2020-11",2020,11,"Illinois",3480,0,0
"54","2020-11",2020,11,"Nevada",8040,2927998,49014
"55","2020-11",2020,11,"New York",9002,8674003,724197
"56","2020-12",2020,12,"California",12352,17784563,268598
"57","2020-12",2020,12,"Hawaii",9970,611372,8405
"58","2020-12",2020,12,"Illinois",2854,0,0
"59","2020-12",2020,12,"Nevada",6432,4515743,63956
"60","2020-12",2020,12,"New York",8266,11535386,763514
"61","2021-01",2021,1,"California",12932,30373784,420373
"62","2021-01",2021,1,"Hawaii",10849,742629,10172
"63","2021-01",2021,1,"Illinois",3336,0,0
"64","2021-01",2021,1,"Nevada",7292,6090295,87297
"65","2021-01",2021,1,"New York",9538,16193247,806742
"66","2021-02",2021,2,"California",13795,32591439,535599
"67","2021-02",2021,2,"Hawaii",11149,748386,11820
"68","2021-02",2021,2,"Illinois",3152,0,0
"69","2021-02",2021,2,"Nevada",7884,6207935,101513
"70","2021-02",2021,2,"New York",8658,18741072,792100
"71","2021-03",2021,3,"California",18472,37517367,697121
"72","2021-03",2021,3,"Hawaii",16570,883054,13891
"73","2021-03",2021,3,"Illinois",4905,0,0
"74","2021-03",2021,3,"Nevada",11363,7166591,124193
"75","2021-03",2021,3,"New York",10936,24321841,940051
"76","2021-04",2021,4,"California",21640,36839800,707034
"77","2021-04",2021,4,"Hawaii",18460,941865,14099
"78","2021-04",2021,4,"Illinois",5993,0,0
"79","2021-04",2021,4,"Nevada",7120,7176673,126128
"80","2021-04",2021,4,"New York",13020,26839566,958996
"81","2021-05",2021,5,"California",25902,38390260,747589
"82","2021-05",2021,5,"Hawaii",24080,1056293,15135
"83","2021-05",2021,5,"Illinois",7986,0,0
"84","2021-05",2021,5,"Nevada",0,7693677,135095
"85","2021-05",2021,5,"New York",15205,29180397,1022272
"86","2021-06",2021,6,"California",25303,37426033,733170
"87","2021-06",2021,6,"Hawaii",23055,1073358,15164
"88","2021-06",2021,6,"Illinois",8784,0,0
"89","2021-06",2021,6,"Nevada",0,7652270,133535
"90","2021-06",2021,6,"New York",776,28586255,1000395
"91","2021-07",2021,7,"California",2416,39342765,762028
"92","2021-07",2021,7,"Hawaii",3090,1171771,16145
"93","2021-07",2021,7,"Illinois",1687,0,0
"94","2021-07",2021,7,"Nevada",0,8333938,141771
"95","2021-07",2021,7,"New York",0,29842311,1037720
